Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_AFC_DEBUG_SMOOTHING_FILTER   0x7	0xD 	0x13    "LG_AFC_DEBUG_SMOOTHING_FILTER = "	COMP16Q15  Buffer_E 	   ""
LG_AFC_DEBUG_AUTO_CORRELATION   0x7 	0xD 	0x14    "LG_AFC_DEBUG_AUTO_CORRELATION = " 	DEC16  Buffer_E 	   ""
LG_AFC_DEBUG_ARG                0x7	0xD 	0x15    "LG_AFC_DEBUG_ARG = " 			DEC16  Buffer_E 	   ""
LG_AFC_DEBUG_FREQ_OFFSET        0x7	0xD 	0x16    "LG_AFC_DEBUG_FREQ_OFFSET = " 		DEC16  Buffer_E 	   ""


//  RXPE log points:
LG_RXPE_RX_IN                  0x7    	0xE		0x0    "RXPE RX In = "                      COMP16Q15     Buffer_E         ""
LG_RXPE_CE_ESTTYPE             0x7    	0xE	 	0x1    "RXPE ChEstimation EstType (LS = 0, WLS = 1)     = "         DEC16   	Title+Data	""
LG_RXPE_CE_CHLEN               0x7    	0xE	 	0x2    "RXPE ChEstimation Channel Length in Samples     = "	  	DEC16   	Title+Data	""
LG_RXPE_CE_MODTYPE             0x7    	0xE	 	0x3    "RXPE ChEstimation ModType (GMSK = 0, 8PSK = 1)  = "		DEC16   	Title+Data	""
LG_RXPE_CE_DCOFFSET            0x7    	0xE	 	0x4    "RXPE ChEstimation DC Offset = "				COMP16Q15     	Buffer_E        ""
LG_RXPE_CE_CHANNEL_TAPS       	0x7   	0xE	 	0x5    "RXPE ChEstimation Channel Taps = "				COMP16Q15     	Buffer_E        ""
LG_RXPE_GMSK_INIT_TAPS         0x7    	0xE	 	0x6    "GMSK Init. Taps = "                 COMP16Q15     Buffer_E         ""
LG_RXPE_EPSK_INIT_TAPS         0x7    	0xE	 	0x7    "EPSK Init. Taps = "                 COMP16Q15     Buffer_E         ""
LG_RXPE_OUT_GMSK_CIR           0x7    	0xE	 	0x8    "RXPE Out GMSK CIR = "               FlpNumQ15  Title+Data       ""
LG_RXPE_OUT_GMSK_NOISE_VAR     0x7    	0xE	 	0x9    "RXPE Out GMSK Noise Var = "         FlpNumQ15  Title+Data       ""
LG_RXPE_OUT_EPSK_CIR           0x7    	0xE	 	0xA    "RXPE Out EPSK CIR = "               FlpNumQ15  Title+Data       ""
LG_RXPE_OUT_EPSK_NOISE_VAR     0x7    	0xE	 	0xB    "RXPE Out EPSK Noise Var = "         FlpNumQ15  Title+Data       ""
LG_RXPE_OUT_OPT_START_OFFSET   0x7    	0xE	 	0xC    "RXPE Opt Start Offset = "           DEC16      Title+Data       ""
LG_RXPE_OUT_OPT_CHAN_LEN       0x7    	0xE	 	0xD    "RXPE Out Opt. Chan. Len = "         DEC16      Title+Data       ""
LG_RXPE_OUT_REQ_TIME_CORR      0x7    	0xE	 	0xE    "RXPE Out Req. Time Corr. = "        DEC16      Title+Data       ""

LG_CLTE_EGDUH_TASK_1ST_TS_IN_FRAME  	  0x7	0xE   0xF    "CLTE (Egduh) 1st Time-slot In Frame Index = "  	DEC16 	Title+Data 	""
LG_CLTE_EGDUH_TASK_SLOT_INDEX_IN_FRAME    0x7	0xE   0x10   "CLTE (Egduh) Slot Index In Frame          = "  	DEC16 	Title+Data 	""
LG_CLTE_EGDUH_TASK_NEEDED_OFFSET          0x7	0xE   0x11   "CLTE (Egduh) Needed Timing Offset         = "  	DEC16 	Title+Data 	""
LG_CLTE_EGDUH_TASK_TIMING_OFFSET_TABLE    0x7	0xE   0x12   "CLTE (Egduh) Timing Offset Table          = "  	HEX32 	Title+Data 	""
LG_CLTE_EGDUH_TASK_LOG_GSIZE		  0x7	0xE	0x13   "CLTE (Egduh) Grouping Size Set            = "  	DEC16 	Title+Data 	""

LG_CLTE_EST_AVG_TAP_ENERGY_VALS		  0x7	0xE	0x14   "CLTE Average History Table Tap Energy = " 	UDEC32 	Buffer_E 	""
LG_CLTE_WORKING_MODE			  0x7	0xE	0x15   "CLTE Working Mode (0 = Initial)       = " 	DEC16 	Buffer_E 	""
LG_CLTE_OPT_CHAN_LEN			  0x7	0xE	0x16   "CLTE Opt Channel Length               = " 	DEC16 	Buffer_E 	""
LG_CLTE_OPT_CHAN_START_OFFSET   	  0x7	0xE	0x17   "CLTE Opt Channel Start Offset         = " 	DEC16 	Buffer_E 	""
LG_CLTE_CURR_HIST_LEN         		  0x7	0xE	0x18   "CLTE Current History Length           = " 	DEC16 	Buffer_E 	""
LG_CLTE_NUM_ALLOCATED_SLOTS   		  0x7	0xE	0x19   "CLTE Num Allocated Slots              = " 	DEC16 	Buffer_E 	""
LG_CLTE_EST_FINAL_CIR_INPUT		  0x7	0xE	0x1A   "CLTE Final EstCir Input               = " 	DEC16 	Buffer_E 	""
LG_CLTE_EST_FINAL_CIR_USED		  0x7	0xE	0x1B   "CLTE Final EstCir Used                = " 	DEC16 	Buffer_E 	""
LG_CLTE_IHT_INDEX			  0x7	0xE	0x1C   "CLTE IHT Index                        = " 	DEC16 	Buffer_E 	""
